cruise_name,code,ship,link_to_cruise,departure_date,duration,price,PolarInside,PolarOutside,ArcticSuperior,ExpeditionSuite
Spitsbergen and Polar Bears - An Arctic Adventure (B),CENNXSPI1801,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-b/,2018-06-21,6 Days,1543 €,1543 €,2465 €,,
Spitsbergen and Polar Bears - An Arctic Adventure (B),CENNXSPI1801,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-b/,2018-06-14,6 Days,1543 €,1543 €,2465 €,,
Norwegian Coastal Expeditions: Southbound,CENEXPKB,MS Richard With,https://www.hurtigruten.com/destinations/norway/norwegian-coastal-expeditions-kirkenes-bergen/,2017-07-24,6 Days,1699 €,,,1699 €,3885 €
Spitsbergen and Polar Bears - An Arctic Adventure (B),CENNXSPI1801,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-b/,2018-07-05,6 Days,1543 €,1543 €,2465 €,,
Spitsbergen and Polar Bears - An Arctic Adventure (B),CENNXSPI1801,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-b/,2018-06-07,6 Days,1612 €,1612 €,2179 €,,
Spitsbergen and Polar Bears - An Arctic Adventure (B),CENNXSPI1801,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-b/,2018-07-12,6 Days,1543 €,1543 €,2465 €,,
Spitsbergen and Polar Bears - An Arctic Adventure (B),CENNXSPI1801,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-b/,2018-05-24,6 Days,1381 €,1381 €,2179 €,,
Andean Coast expedition to Panama Canal - Southbound,CENFRSOU1801,MS Fram,https://www.hurtigruten.com/destinations/south-america/andean-coast-expedition-to-panama-canal-southbound/,2018-11-04,16 Days,3830 €,3830 €,4625 €,5094 €,6397 €
Spitsbergen and Polar Bears - An Arctic Adventure (B),CENNXSPI1801,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-b/,2018-05-31,6 Days,1381 €,1381 €,2179 €,,
Norwegian Coastal Expeditions: Southbound,CENEXPKB,MS Kong Harald,https://www.hurtigruten.com/destinations/norway/norwegian-coastal-expeditions-kirkenes-bergen/,2017-08-07,6 Days,4608 €,,,,4608 €
Norwegian Coastal Expeditions: Southbound,CENEXPKB,MS Kong Harald,https://www.hurtigruten.com/destinations/norway/norwegian-coastal-expeditions-kirkenes-bergen/,2017-07-27,6 Days,4883 €,,,,4883 €
Norwegian Coastal Expeditions: Southbound,CENEXPKB,MS Nordlys,https://www.hurtigruten.com/destinations/norway/norwegian-coastal-expeditions-kirkenes-bergen/,2017-07-30,6 Days,1699 €,,1851 €,1699 €,3885 €
Norwegian Coastal Expeditions: Southbound,CENEXPKB,MS Nordnorge,https://www.hurtigruten.com/destinations/norway/norwegian-coastal-expeditions-kirkenes-bergen/,2017-08-05,6 Days,3392 €,,,3392 €,3866 €
Norwegian Coastal Expeditions: Southbound,CENEXPKB,MS Polarlys,https://www.hurtigruten.com/destinations/norway/norwegian-coastal-expeditions-kirkenes-bergen/,2017-08-02,6 Days,3907 €,,,,3907 €
Norwegian Coastal Expeditions: Southbound,CENEXPKB,MS Richard With,https://www.hurtigruten.com/destinations/norway/norwegian-coastal-expeditions-kirkenes-bergen/,2017-08-04,6 Days,999 €,999 €,,1599 €,3784 €
Norwegian Coastal Expeditions: Southbound,CENEXPKB,MS Nordlys,https://www.hurtigruten.com/destinations/norway/norwegian-coastal-expeditions-kirkenes-bergen/,2017-08-10,6 Days,999 €,999 €,1199 €,1599 €,3537 €
Cultural Sailings: Southbound,CENCULKB17,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/cultural-sailings-kirkenes-bergen/,2017-11-13,6 Days,772 €,772 €,850 €,1102 €,2199 €
Cultural Sailings: Southbound,CENCULKB17,MS Finnmarken,https://www.hurtigruten.com/destinations/norway/cultural-sailings-kirkenes-bergen/,2017-10-28,6 Days,845 €,845 €,927 €,1166 €,1749 €
Cultural Sailings: Southbound,CENCULKB17,MS Finnmarken,https://www.hurtigruten.com/destinations/norway/cultural-sailings-kirkenes-bergen/,2017-11-08,6 Days,772 €,772 €,850 €,1102 €,1921 €
Cultural Sailings: Southbound,CENCULKB17,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/cultural-sailings-kirkenes-bergen/,2017-11-02,6 Days,772 €,772 €,850 €,1102 €,1921 €
Cultural Sailings: Northbound,CENCULBK18,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/cultural-sailings-bergen-kirkenes/,2018-05-13,7 Days,1401 €,1401 €,1630 €,2143 €,3587 €
Cultural Sailings: Northbound,CENCULBK18,MS Finnmarken,https://www.hurtigruten.com/destinations/norway/cultural-sailings-bergen-kirkenes/,2018-05-08,7 Days,1401 €,1401 €,1630 €,2143 €,3587 €
Cultural Sailings: Northbound,CENCULBK18,MS Finnmarken,https://www.hurtigruten.com/destinations/norway/cultural-sailings-bergen-kirkenes/,2018-04-27,7 Days,1160 €,1160 €,1345 €,1759 €,3172 €
Cultural Sailings: Northbound,CENCULBK18,MS Finnmarken,https://www.hurtigruten.com/destinations/norway/cultural-sailings-bergen-kirkenes/,2018-04-05,7 Days,1046 €,1046 €,1210 €,1577 €,2743 €
Cultural Sailings: Southbound,CENCULKB17,MS Finnmarken,https://www.hurtigruten.com/destinations/norway/cultural-sailings-kirkenes-bergen/,2017-10-17,6 Days,865 €,865 €,949 €,1194 €,
Cultural Sailings: Northbound,CENCULBK18,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/cultural-sailings-bergen-kirkenes/,2018-05-24,7 Days,1767 €,1767 €,2063 €,2693 €,3936 €
Cultural Sailings: Southbound,CENCULKB17,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/cultural-sailings-kirkenes-bergen/,2017-10-22,6 Days,944 €,944 €,1037 €,1308 €,1969 €
"Cultural Sailings - A Voyage through Norway's History, Music and Art ",CENCULBKB17,MS Finnmarken,https://www.hurtigruten.com/destinations/norway/cultural-sailings-bergen-kirkenes-bergen/,2017-10-11,12 Days,1815 €,,1815 €,2318 €,
Cultural Sailings: Southbound,CENCULKB18,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/cultural-sailings-kirkenes-bergen/,2018-04-16,6 Days,1078 €,1078 €,1247 €,1627 €,2926 €
"Cultural Sailings - A Voyage through Norway's History, Music and Art ",CENCULBKB18,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/cultural-sailings-bergen-kirkenes-bergen/,2018-05-24,12 Days,2604 €,2604 €,3068 €,4013 €,6665 €
Cultural Sailings: Southbound,CENCULKB18,MS Finnmarken,https://www.hurtigruten.com/destinations/norway/cultural-sailings-kirkenes-bergen/,2018-04-11,6 Days,973 €,973 €,1123 €,1460 €,2532 €
Cultural Sailings: Southbound,CENCULKB18,MS Finnmarken,https://www.hurtigruten.com/destinations/norway/cultural-sailings-kirkenes-bergen/,2018-05-03,6 Days,1244 €,1244 €,1444 €,1893 €,3156 €
Cultural Sailings: Southbound,CENCULKB18,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/cultural-sailings-kirkenes-bergen/,2018-04-27,6 Days,1078 €,1078 €,1247 €,1627 €,2926 €
Cultural Sailings: Southbound,CENCULKB18,MS Finnmarken,https://www.hurtigruten.com/destinations/norway/cultural-sailings-kirkenes-bergen/,2018-04-22,6 Days,1078 €,1078 €,1247 €,1627 €,2926 €
"Cultural Sailings - A Voyage through Norway's History, Music and Art ",CENCULBKB17,MS Finnmarken,https://www.hurtigruten.com/destinations/norway/cultural-sailings-bergen-kirkenes-bergen/,2017-11-02,12 Days,1378 €,1378 €,1524 €,2010 €,3671 €
"Cultural Sailings - A Voyage through Norway's History, Music and Art ",CENCULBKB17,MS Finnmarken,https://www.hurtigruten.com/destinations/norway/cultural-sailings-bergen-kirkenes-bergen/,2017-10-22,12 Days,1506 €,1506 €,1658 €,2117 €,
"Cultural Sailings - A Voyage through Norway's History, Music and Art ",CENCULBKB17,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/cultural-sailings-bergen-kirkenes-bergen/,2017-11-07,12 Days,1378 €,1378 €,1524 €,2010 €,
"Cultural Sailings - A Voyage through Norway's History, Music and Art ",CENCULBKB18,MS Trollfjord,https://www.hurtigruten.com/destinations/norway/cultural-sailings-bergen-kirkenes-bergen/,2018-05-02,12 Days,2167 €,2167 €,2544 €,3375 €,6333 €
